video,method,Fail_Total,Fail_Div,Fail_Slip,Fail_Lock,Fail_Double,NIS_Mean,NIS_Pass,NIS_InBand,NIS_pval,Lambda_Mean,Lambda_LT1_Frac,Lambda_LowFrac,Coverage95,FreqStd_Mean,Stability_Sec,n_frames,data_file
cohface_34_0,profile1d_cubic__robust_ossm_ekf,0.9526143790849673,0.0,0.0,0.9526143790849673,0.0,0.00527676234560293,0.0,0.4256535947712418,0.0,1.0662707283789405,0.0,0.0,100.0,0.45848981316271475,61.2,1224.0,data/cohface_34_0.pkl
cohface_34_0,profile1d_cubic__robust_ossm_ukf,0.9526143790849673,0.0,0.006535947712418301,0.9526143790849673,0.0,0.07450863114483253,0.0,0.951797385620915,0.0,1.0611153424872204,0.0,0.0,100.0,0.4573928597229263,61.2,1224.0,data/cohface_34_0.pkl
cohface_17_3,of_farneback,,,,,,,,,,,,,,,,,data/cohface_17_3.pkl
cohface_17_3,of_farneback__kfstd,,,,,,,,,,,,,,,61.95,,data/cohface_17_3.pkl
cohface_17_3,of_farneback__robust_ossm_ekf,0.5318805488297014,0.0,0.0,0.4358353510895884,0.5318805488297014,0.44645603762291386,0.0,0.9636803874092009,5.34657243681512e-70,1.0373955573252138,0.10734463276836158,0.0,93.86602098466506,0.1300659592429461,61.95,1239.0,data/cohface_17_3.pkl
cohface_17_3,of_farneback__robust_ossm_ukf,0.7675544794188862,0.0,0.0,0.7223567393058918,0.7675544794188862,0.3041492863956762,0.0,0.9152542372881356,4.473381647727646e-135,1.0474062185467865,0.07909604519774012,0.0,100.0,0.15558603320214148,61.95,1239.0,data/cohface_17_3.pkl
cohface_17_3,profile1D linear,,,,,,,,,,,,,,,,,data/cohface_17_3.pkl
cohface_17_3,profile1d_linear__kfstd,,,,,,,,,,,,,,,61.95,,data/cohface_17_3.pkl
cohface_17_3,profile1d_linear__robust_ossm_ekf,0.5052461662631155,0.0,0.0,0.5052461662631155,0.010492332526230832,0.06805144884332852,0.0,0.9120258272800645,0.0,1.0618972998787881,0.0,0.0,100.0,0.20759183864505187,61.95,1239.0,data/cohface_17_3.pkl
cohface_17_3,profile1d_linear__robust_ossm_ukf,0.5633575464083939,0.0,0.002421307506053269,0.5633575464083939,0.18966908797417273,0.08884893635704492,0.0,0.9249394673123487,0.0,1.0604300561410092,0.0,0.0,100.0,0.24900733938593494,61.95,1239.0,data/cohface_17_3.pkl
cohface_17_3,profile1D quadratic,,,,,,,,,,,,,,,,,data/cohface_17_3.pkl
cohface_17_3,profile1d_quadratic__kfstd,,,,,,,,,,,,,,,61.95,,data/cohface_17_3.pkl
