video,method,CCC,MAE,RMSE,SNR_Time,Latency,DTW_Dist,IE_Err,PPI_MAE,gt_bpm_avg,est_bpm_avg,data_file
cohface_29_0,profile1d_quadratic__robust_ossm_ekf,0.88,0.38,0.49,6.299477287537824,-1406.25,0.35986926432431937,0.7074075287459515,0.37092803030303045,,,data/cohface_29_0.pkl
cohface_29_0,profile1D cubic,0.81,0.5,0.62,4.206965074833354,562.5,0.43189083416751023,0.07308617263825623,0.3692613636363635,,,data/cohface_29_0.pkl
cohface_29_0,profile1d_cubic__kfstd,0.91,0.34,0.42,7.61757714563768,-1437.5,0.3245735822057261,0.5311182063378895,0.011647727272727337,,,data/cohface_29_0.pkl
cohface_29_0,profile1d_cubic__robust_ossm_ekf,0.88,0.39,0.5,6.0348559802498345,-1406.25,0.37473228244212814,0.7196900561140295,0.37301136363636367,,,data/cohface_29_0.pkl
cohface_34_0,of_farneback,0.93,0.29,0.39,8.273317873469011,593.75,0.27365359293248426,0.16445779718447306,0.07678571428571423,,,data/cohface_34_0.pkl
cohface_34_0,of_farneback__kfstd,0.91,0.3,0.41,7.655129786975216,593.75,0.2864213321805282,0.023112732647942114,0.012499999999999734,,,data/cohface_34_0.pkl
cohface_34_0,of_farneback__robust_ossm_ekf,0.91,0.31,0.43,7.297759089656253,593.75,0.2871358418173094,0.02486711861285429,0.009868421052631415,,,data/cohface_34_0.pkl
cohface_34_0,DoF,0.33,0.79,1.01,-0.28997583938810595,3281.25,0.671846665344644,0.3464513114241037,0.25972222222222197,,,data/cohface_34_0.pkl
cohface_34_0,dof__kfstd,0.79,0.52,0.65,3.6354267524957713,1781.25,0.4246692071086162,0.021716487787727168,0.0032894736842101757,,,data/cohface_34_0.pkl
cohface_34_0,dof__robust_ossm_ekf,0.74,0.53,0.69,3.128885261145233,1781.25,0.41194244108799893,0.0034137518869929995,0.03223684210526301,,,data/cohface_34_0.pkl
cohface_34_0,profile1D linear,0.9,0.31,0.44,7.068796246056977,750.0,0.296471669649014,0.03963664384591059,0.025657894736842657,,,data/cohface_34_0.pkl
cohface_34_0,profile1d_linear__kfstd,0.9,0.32,0.45,6.979010396425279,750.0,0.2940368926874308,0.012939629371463646,0.025657894736842657,,,data/cohface_34_0.pkl
cohface_34_0,profile1d_linear__robust_ossm_ekf,0.9,0.31,0.45,6.997379191151605,750.0,0.2911047996190655,0.012690177534831593,0.023026315789473006,,,data/cohface_34_0.pkl
cohface_34_0,profile1D quadratic,0.93,0.27,0.38,8.383143393755848,687.5,0.258015543517188,0.15152589088729917,0.06964285714285756,,,data/cohface_34_0.pkl
cohface_34_0,profile1d_quadratic__kfstd,0.9,0.31,0.44,7.104629125625409,687.5,0.28678883062374194,0.013045648676593302,0.03092105263157885,,,data/cohface_34_0.pkl
cohface_34_0,profile1d_quadratic__robust_ossm_ekf,0.91,0.29,0.42,7.495363228459136,687.5,0.2741237349021951,0.027913497138434717,0.020394736842105576,,,data/cohface_34_0.pkl
cohface_34_0,profile1D cubic,0.93,0.28,0.39,8.291216429961437,687.5,0.2626160557764354,0.15197037366574773,0.06964285714285756,,,data/cohface_34_0.pkl
cohface_34_0,profile1d_cubic__kfstd,0.9,0.31,0.44,7.087645261459031,687.5,0.288409714319168,0.009535796459844592,0.03092105263157885,,,data/cohface_34_0.pkl
cohface_34_0,profile1d_cubic__robust_ossm_ekf,0.91,0.29,0.42,7.529366045462624,687.5,0.27471580560348025,0.023399083710228474,0.020394736842105576,,,data/cohface_34_0.pkl
cohface_17_3,of_farneback,0.8,0.52,0.63,4.054067928789632,718.75,0.4357410440441681,0.11351800381694976,0.6322916666666663,,,data/cohface_17_3.pkl
cohface_17_3,of_farneback__kfstd,0.85,0.46,0.56,5.195176532875962,-1343.75,0.39867797926072635,1.016167311298747,0.6406249999999991,,,data/cohface_17_3.pkl
cohface_17_3,of_farneback__robust_ossm_ekf,0.84,0.47,0.56,5.062348101388576,-1343.75,0.40528904192022597,1.047682225008819,0.640625,,,data/cohface_17_3.pkl
cohface_17_3,DoF,0.32,0.85,1.15,-1.1197618813040229,-5031.25,0.5990160638064949,0.6422700974586992,2.2956250000000002,,,data/cohface_17_3.pkl
cohface_17_3,dof__kfstd,0.84,0.46,0.58,4.954292204293078,2656.25,0.3520159038107724,0.20745259320973652,0.05085227272727266,,,data/cohface_17_3.pkl
cohface_17_3,dof__robust_ossm_ekf,0.83,0.47,0.59,4.785789602810608,2593.75,0.3504595597347604,0.3067385300076352,0.04630681818181781,,,data/cohface_17_3.pkl
cohface_17_3,profile1D linear,0.56,0.72,0.93,0.6893947149460268,781.25,0.5322833567394697,0.2806952893974817,1.9093749999999998,,,data/cohface_17_3.pkl
cohface_17_3,profile1d_linear__kfstd,0.78,0.53,0.68,3.5828062384689012,-4125.0,0.4028400548032737,0.2713295639097141,0.11903409090909012,,,data/cohface_17_3.pkl
cohface_17_3,profile1d_linear__robust_ossm_ekf,0.68,0.65,0.81,1.9124273051329577,875.0,0.46513814240655516,0.2698443488498502,1.578125,,,data/cohface_17_3.pkl
cohface_17_3,profile1D quadratic,0.68,0.66,0.79,2.141325595844452,718.75,0.49370933531826494,0.05894736663765321,1.3174107142857139,,,data/cohface_17_3.pkl
cohface_17_3,profile1d_quadratic__kfstd,0.89,0.39,0.47,6.623976933774554,-1406.25,0.33304711659769753,0.6446752546671397,0.028125000000000178,,,data/cohface_17_3.pkl
cohface_17_3,profile1d_quadratic__robust_ossm_ekf,0.84,0.47,0.57,5.029823141726242,-1375.0,0.37577302111079836,0.8067457365923543,0.6281249999999998,,,data/cohface_17_3.pkl
cohface_17_3,profile1D cubic,0.66,0.68,0.81,1.8338429463790462,718.75,0.5023716895493148,0.020734650035883595,1.0088942307692301,,,data/cohface_17_3.pkl
cohface_17_3,profile1d_cubic__kfstd,0.86,0.43,0.53,5.665322778549794,-1406.25,0.3395249645986454,0.6367957606210857,0.018124999999999503,,,data/cohface_17_3.pkl
cohface_17_3,profile1d_cubic__robust_ossm_ekf,0.81,0.5,0.62,4.261135115723835,-1343.75,0.3978243004762803,0.7983288391690304,0.6281249999999998,,,data/cohface_17_3.pkl
cohface_22_2,of_farneback,0.9,0.37,0.45,6.929020783416435,843.75,0.3046119582247612,0.2002327511547648,0.03000000000000025,,,data/cohface_22_2.pkl
cohface_22_2,of_farneback__kfstd,0.92,0.32,0.41,7.798502384272407,843.75,0.27571766035272127,0.17924411672627172,0.01499999999999968,,,data/cohface_22_2.pkl
cohface_22_2,of_farneback__robust_ossm_ekf,0.91,0.33,0.42,7.598836637534529,843.75,0.28017605102180393,0.18531220505322965,0.015000000000000568,,,data/cohface_22_2.pkl
cohface_22_2,DoF,0.41,0.86,1.08,-0.5339846535310291,-6375.0,0.5578418046683047,0.27902565817626646,2.367105263157894,,,data/cohface_22_2.pkl
cohface_22_2,dof__kfstd,0.49,0.8,1.0,-0.025852371650985122,-3250.0,0.487004233315357,0.28707512532825197,2.2191176470588236,,,data/cohface_22_2.pkl
cohface_22_2,dof__robust_ossm_ekf,0.25,0.94,1.18,-1.2564533656847638,2812.5,0.5393211982799617,0.24467531397921194,2.6249999999999996,,,data/cohface_22_2.pkl
cohface_22_2,profile1D linear,0.9,0.35,0.44,7.178499055988762,1000.0,0.28800021622012745,0.14157428016121198,0.27499999999999947,,,data/cohface_22_2.pkl
cohface_22_2,profile1d_linear__kfstd,0.95,0.24,0.3,10.392744411675203,1062.5,0.21405172153490193,0.1615340143188979,0.03999999999999915,,,data/cohface_22_2.pkl
cohface_22_2,profile1d_linear__robust_ossm_ekf,0.95,0.24,0.3,10.407688040864947,1093.75,0.21441850570132456,0.13466556175245614,0.01499999999999968,,,data/cohface_22_2.pkl
cohface_22_2,profile1D quadratic,0.92,0.32,0.4,8.127596820742454,906.25,0.272217148637398,0.10158671782776163,0.0,,,data/cohface_22_2.pkl
cohface_22_2,profile1d_quadratic__kfstd,0.95,0.24,0.3,10.463907595246404,937.5,0.2212390381973004,0.12689650031239874,0.03999999999999915,,,data/cohface_22_2.pkl
cohface_22_2,profile1d_quadratic__robust_ossm_ekf,0.96,0.23,0.29,10.71340338418688,968.75,0.21514163785987775,0.08539031100836458,0.015000000000000568,,,data/cohface_22_2.pkl
cohface_22_2,profile1D cubic,0.92,0.32,0.4,8.124217220791529,906.25,0.2744049615628134,0.09668045699256256,0.0,,,data/cohface_22_2.pkl
cohface_22_2,profile1d_cubic__kfstd,0.95,0.25,0.33,9.586458147569253,-1750.0,0.23171952984143396,0.35104267644315845,0.07000000000000028,,,data/cohface_22_2.pkl
cohface_22_2,profile1d_cubic__robust_ossm_ekf,0.95,0.24,0.31,10.287302903824937,-1750.0,0.22012697509399487,0.4056055861973975,0.04999999999999982,,,data/cohface_22_2.pkl
