method,trial,n_frames,kurtosis,t_aic_delta,t_fit_nu,hill_alpha,shapiro_pval,nis_mean,lambda_mean,lambda_lt1_frac,lambda_low_frac,fail_total
of_farneback__robust_ossm_ekf,3_0,1207,50.625142852948066,960.6875732610492,2.645981146221358,1.8214104116920011,1.3006486789320285e-43,0.7059220672908161,1.1698047993296372,0.07870753935376967,0.007456503728251864,0.14664457332228667
of_farneback__robust_ossm_ekf,3_1,1212,34.37419046069943,818.9796987591171,2.8305042087587653,2.2742088982744013,2.805291891564431e-41,0.8001213781241672,1.1546529695127652,0.10643564356435643,0.009900990099009901,0.27145214521452143
of_farneback__robust_ossm_ekf,3_2,1208,39.44672659157025,819.0086506553857,2.3626892714561256,2.566500130663547,2.1277791483440034e-41,0.5044686721842561,1.18066675544994,0.059602649006622516,0.0074503311258278145,0.05132450331125828
of_farneback__robust_ossm_ekf,3_3,1208,51.306700967379925,1025.6564288210889,3.268086067150126,2.2776983431955466,3.3709079179078566e-45,0.6278436206997903,1.1801940589403697,0.042218543046357616,0.008278145695364239,0.041390728476821195
of_farneback__robust_ossm_ekf,40_0,1250,7.325857073984325,421.5321802204976,2.4035327399711157,2.230409636288408,3.0628575794510845e-29,0.7239075276150415,1.136029270747996,0.1424,0.0072,0.0864
of_farneback__robust_ossm_ekf,40_1,1232,8.262318889698866,267.52798868329046,2.7683860005000236,3.2196071151924013,3.2415937726157314e-26,0.8070442269569731,1.1182596696299392,0.21022727272727273,0.003246753246753247,0.2662337662337662
of_farneback__robust_ossm_ekf,40_2,1240,23.015336613791227,1231.9245284794742,1.5906925231539375,1.8522128265772408,1.7966130783970764e-43,1.4099150531250604,1.1367530549217628,0.1596774193548387,0.021774193548387097,0.5508064516129032
of_farneback__robust_ossm_ekf,40_3,1229,15.516508364999638,793.1068053274821,1.775955174719067,2.030890348696056,1.1216665820910557e-37,1.1685243148317077,1.124516049362361,0.1790073230268511,0.01627339300244101,0.3132628152969894
of_farneback__robust_ossm_ekf,4_0,1209,4.06068984218012,279.305368361903,2.535146730072618,2.3918476406553992,2.3627086025848177e-23,0.2574766035262661,1.1900469913477456,0.06782464846980976,0.0,0.12241521918941274
of_farneback__robust_ossm_ekf,4_1,1207,7.130618415211101,281.1407498421081,3.694168205081294,2.1119443583378747,2.4891703810800516e-26,0.2121806772608297,1.1999356556958396,0.03893951946975974,0.0,0.14664457332228667
of_farneback__robust_ossm_ekf,4_2,1208,1.9176198829152664,59.540668544834716,6.1314750876211574,3.095210331195822,8.576964866768167e-13,0.35275626722116404,1.164010876072311,0.0836092715231788,0.0,0.0935430463576159
of_farneback__robust_ossm_ekf,4_3,1210,37.48683181753506,1710.22736702651,1.9197384057393583,1.5810716644879559,8.776793888734442e-49,1.4811273221804964,1.1620082860408112,0.09834710743801653,0.01652892561983471,0.2603305785123967
of_farneback__robust_ossm_ekf,5_0,1210,3.617274855131292,184.98581819117226,2.992212627349871,2.559227861896474,6.858589136371637e-21,0.7982223790739691,1.1156898132872464,0.23388429752066114,0.005785123966942148,0.1859504132231405
of_farneback__robust_ossm_ekf,5_1,1209,1.2357160318422906,65.69962452857908,4.299071897409671,3.8334516380248136,3.614514492416118e-12,0.43129079090238215,1.152757869802054,0.12241521918941274,0.0,0.3134822167080232
of_farneback__robust_ossm_ekf,5_2,1210,33.34499100922294,1049.1687912551802,2.1118649391524547,1.8474662816385568,3.138011061494949e-43,1.1339524890741217,1.1453042454753786,0.1322314049586777,0.010743801652892562,0.33140495867768593
of_farneback__robust_ossm_ekf,5_3,1206,8.45321901174205,383.9487583122054,2.8679860521400724,2.194530976485563,3.0633711944430627e-29,0.6406903677212671,1.1460078781090657,0.11608623548922056,0.007462686567164179,0.4917081260364842
of_farneback__robust_ossm_ekf,6_0,1208,1.8807727900376685,65.58434741542777,5.602301421761437,3.220228150828835,2.8973930684286355e-12,0.061020709659543454,1.2302444019704766,0.0033112582781456954,0.0,0.0
of_farneback__robust_ossm_ekf,6_1,1207,2.0146981487297806,65.54728768897394,5.822037676792512,4.3826582502498255,1.6703827854722725e-14,0.11403679430996651,1.2154847668408122,0.006628003314001657,0.0,0.0
of_farneback__robust_ossm_ekf,6_2,1209,10.036957852040358,332.5463323446861,3.6766064974555266,2.21495138374922,8.396266288745481e-32,0.1509745873547348,1.2136828936735498,0.023986765922249794,0.0,0.0
of_farneback__robust_ossm_ekf,6_3,1207,12.92059067982758,252.32009295967396,5.281697639104835,3.9742820965078933,2.2182190046892836e-29,0.4629827928821158,1.1507819887569386,0.12178956089478045,0.0033140016570008283,0.03148301574150787
of_farneback__robust_ossm_ekf,7_0,1209,2.7965477799643903,175.48122896763675,3.11878006938381,2.5866641434241933,6.196721583161263e-20,0.1265895280535473,1.2131446618151707,0.022332506203473945,0.0,0.0380479735318445
of_farneback__robust_ossm_ekf,7_1,1209,-0.3453518903673536,-4.053854265637824,107.93993930801619,5.030861361648743,0.00556311710084433,0.11257811788440591,1.213963170354741,0.0008271298593879239,0.0,0.0
of_farneback__robust_ossm_ekf,7_2,1208,0.5966706785354399,9.541905479926527,13.370825984437207,3.9253893686283337,0.0001346608772377785,0.1364882449420901,1.20852674552943,0.012417218543046357,0.0,0.03228476821192053
of_farneback__robust_ossm_ekf,7_3,1209,-0.03755490716134258,-2.4150540857406213,99.98323332069195,4.65588982984117,0.0009976242491804553,0.19843427636440106,1.1919972877601157,0.02315963606286187,0.0,0.0
of_farneback__robust_ossm_ekf,8_0,1210,-0.5325475235099089,-4.480865734824647,132.36512045002212,5.136638406707107,1.4755803874659757e-06,0.07553563220529033,1.2250386683261187,0.0,0.0,0.0
of_farneback__robust_ossm_ekf,8_1,1209,1.3922185263651228,35.78523386467509,8.592283145420048,3.324468005910729,6.775543041786994e-12,0.16697338608567827,1.2024466717529594,0.021505376344086023,0.0,0.03722084367245657
of_farneback__robust_ossm_ekf,8_2,1209,0.7571982777233708,18.669198895131103,8.889529449115262,4.183266111044605,1.210748699223623e-06,0.44008880393205896,1.1471896960646648,0.12903225806451613,0.0,0.08105872622001654
of_farneback__robust_ossm_ekf,8_3,1208,1.816315320099947,70.1717446581738,5.323359778880711,3.0598795509210857,3.488667758609039e-13,0.6175854071083553,1.1266112873449776,0.16225165562913907,0.0024834437086092716,0.07947019867549669
of_farneback__robust_ossm_ekf,9_0,1225,0.37897072930898945,1.7047917899142249,27.369741064557463,5.102355904922967,1.1839843801710116e-07,0.19646355761842854,1.1917903182951508,0.017959183673469388,0.0,0.0032653061224489797
of_farneback__robust_ossm_ekf,9_1,1242,0.7162150518090367,7.49684037779366,20.078819055066727,4.697313498592764,3.768341812232892e-12,0.24610911870064103,1.1808707651103367,0.0249597423510467,0.0,0.040257648953301126
of_farneback__robust_ossm_ekf,9_2,1229,2.2663906361035764,95.0001556918387,4.809995141244549,2.740649277492299,4.06471988961064e-16,0.30154606486406066,1.1725745426352971,0.06265256305939788,0.0,0.1114727420667209
of_farneback__robust_ossm_ekf,9_3,1265,-0.4035326778747619,-4.368765118051556,111.60056199819086,4.93794135937805,0.0008247757045884072,0.1508389330118135,1.2034968859210486,0.008695652173913044,0.0,0.0
profile1d_cubic__robust_ossm_ekf,10_0,1227,3.5758144403881786,125.26978481853453,5.450462817231023,3.2312417138506118,6.546036553777731e-20,0.08397717941108496,1.0000916106677131,0.010594947025264874,0.0,0.3015484922575387
profile1d_cubic__robust_ossm_ekf,10_1,1227,1.7330988855441731,80.35295139058917,4.864662548824113,2.622897174151357,4.187980244666662e-15,0.11024802181492768,1.00008898316734,0.015484922575387123,0.0,0.1295843520782396
profile1d_cubic__robust_ossm_ekf,10_2,1221,0.8594275862901992,15.668465565427198,12.565439951574376,3.9569449224245683,1.1197189831873337e-08,0.08021206063380253,1.0000919869680274,0.006552006552006552,0.0,0.3144963144963145
